lat,lon
56.90219,13.70666
56.53197,14.80736
58.49077,13.1032
48.005278,-1.710556
47.24304,7.73581
46.34377,7.60101
47.15324,7.66938
46.79159,6.75102
46.60801,6.29649
46.19953,5.98115
46.82117,9.43727
47.15335,7.27381
46.56536,6.55826
47.54942,8.86675
47.19708,7.99949
46.79329,7.73333
46.38781,6.95115
46.47713,6.82013
46.16341,7.08262
-33.38016,149.195157
52.039286,23.900624
40.285717,-74.220842
37.933556,66.776768
49.943232,13.704378
49.490639,13.109111
53.271397,-6.736711
54.043122,-7.78322
53.381911,-6.357336
38.656147,34.821287
62.334395,5.637349
47.334802,13.292676
47.414901,13.212072
50.843599,14.282607
38.92466,-77.00238
50.149129,14.363303
48.162243,15.622307
50.549605,14.134981
49.533497,18.027608
49.954342,14.052472
48.96318,14.585887
33.00356,-118.55764
49.492233,19.177345
41.689521,41.706737
48.490286,12.543525
47.600873,14.450176
55.795531,12.492982
53.681059,7.018982
43.293144,-5.982069
50.175405,26.896748
48.971356,30.246588
53.515312,10.128461
42.560138,2.752296
48.431187,0.089822
42.526517,-70.917555
51.483608,-2.669408
50.825436,-0.180256
51.04829,0.333321
52.545709,-2.790353
50.85864,0.528254
52.782465,0.511778
53.42003,-1.1722
52.572833,0.963965
50.990899,0.185088
46.70348,7.66746
47.614244,-122.12306
35.761292,-106.617067
36.447233,127.190363
56.171867,9.037981
51.376831,19.875965
52.757999,-1.910156
47.664053,-122.423855
56.207788,36.020786
45.652992,-0.247572
50.945625,-2.734434
50.597215,-1.951909
52.834316,-3.081408
52.748299,-0.500593
51.305092,-2.76885
51.244337,-2.280743
51.276265,-3.012088
54.659732,-3.543961
54.194262,-2.755652
53.918151,-0.85195
54.649258,-2.753145
53.28994,-2.076466
52.620112,-0.354224
52.588509,-0.193201
51.093643,-3.293698
52.56094,-0.610699
51.324357,-2.539552
53.168421,-1.784555
53.16744,-1.470433
50.822042,-1.99427
52.602188,-1.8464
53.017483,-1.181589
52.428448,-0.894861
52.7866,-2.56389
53.197245,-1.178171
53.88914,-0.654939
54.686441,-1.481882
50.985446,-3.319182
61.842625,4.965433
59.63776,9.993138
59.667348,10.790878
53.3,5.7
53.3,6.8
57.16956,16.0159
57.47868,11.93116
56.45087,14.43399
57.79535,11.7522
59.746496,10.611286
52.667793,7.500004
50.96365,4.64839
53.251522,49.158719
42.016472,24.590237
55.700505,12.514237
56.140414,47.260883
54.231224,-0.421186
55.676053,37.283219
49.262262,19.156531
55.921887,37.539638
49.211189,13.571828
47.837027,8.350852
53.384353,49.530061
54.737798,45.405366
42.28075,-81.843445
53.01265,43.195672
53.14573,38.114596
52.752644,41.504089
55.62138,37.155636
42.841824,-112.460521
50.354887,30.506895
37.230522,-122.106614
44.670676,-123.217876
51.426082,19.711169
42.427541,-71.123535
47.828497,13.399264
52.959089,39.029919
42.860648,-80.735663
43.37412,-72.33902
53.176113,44.006538
53.530287,41.266042
43.388195,77.352413
49.323411,-124.294587
49.370257,-122.873329
55.207745,46.326132
44.094192,41.14025
52.574402,41.466019
43.367093,5.461401
58.064267,38.244292
51.229172,24.709058
53.515808,28.175418
54.223733,37.782325
48.832508,14.32462
54.145149,45.17832
54.951822,20.471182
52.505802,43.120516
53.837794,38.555694
46.917278,9.185375
-46.313713,168.798056
51.581257,85.604134
49.227116,-119.618447
49.015103,-122.469687
54.627503,8.398478
56.013061,47.657314
54.691495,25.36692
54.329236,49.820222
55.101658,45.968078
43.814304,-84.361813
53.180674,34.370783
48.099542,8.199717
58.94303,16.696
56.04272,14.57822
37.833973,35.047546
47.968505,13.268609
58.38802,15.36831
57.30364,11.90345
59.4983,16.11216
56.13764,13.44012
59.00214,14.47216
56.86026,16.644
61.29521,16.9613
55.99131,13.67493
58.05856,13.6898
59.096041,10.844121
59.61584,10.391244
59.89264,11.158639
60.003715,11.011189
59.326733,11.024116
57.740551,10.627889
42.958324,-89.500584
51.018937,13.691949
49.21709,8.130099
52.74288,59.072078
44.250648,-78.420616
54.982894,39.014606
55.099888,36.57856
48.607411,-2.193448
55.516531,47.711957
41.313396,0.962823
44.58535,-79.450935
54.242212,24.506858
48.764345,9.511526
54.065073,36.464686
50.419282,30.673405
57.037878,38.858525
43.148437,-79.156396
59.875025,31.588135
48.321367,-118.131395
